game_id,game_date,game_status,home_team_id,away_team_id,home_score,away_score,winner,team,game_pts,total_points,games_played
2,2024-01-01,Final,6,4,0,4,New York,Toronto,0,0,1
2,2024-01-01,Final,6,4,0,4,New York,New York,3,3,1
3,2024-01-02,Final OT,5,3,2,3,Montreal,Ottawa,1,1,1
3,2024-01-02,Final OT,5,3,2,3,Montreal,Montreal,2,2,1
4,2024-01-03,Final,1,2,2,3,Minnesota,Boston,0,0,1
4,2024-01-03,Final,1,2,2,3,Minnesota,Minnesota,3,3,1
5,2024-01-05,Final,4,6,2,3,Toronto,New York,0,3,2
5,2024-01-05,Final,4,6,2,3,Toronto,Toronto,3,3,2
6,2024-01-06,Final,2,3,3,0,Minnesota,Minnesota,3,6,2
6,2024-01-06,Final,2,3,3,0,Minnesota,Montreal,0,2,2
9,2024-01-10,Final,4,3,2,5,Montreal,New York,0,3,3
9,2024-01-10,Final,4,3,2,5,Montreal,Montreal,3,5,3
8,2024-01-10,Final,2,6,3,1,Minnesota,Minnesota,3,9,3
8,2024-01-10,Final,2,6,3,1,Minnesota,Toronto,0,3,3
10,2024-01-13,Final,6,5,1,5,Ottawa,Toronto,0,3,4
10,2024-01-13,Final,6,5,1,5,Ottawa,Ottawa,3,4,2
11,2024-01-13,Final OT,3,1,2,3,Boston,Montreal,1,6,4
11,2024-01-13,Final OT,3,1,2,3,Boston,Boston,2,2,2
12,2024-01-14,Final OT,2,4,2,3,New York,Minnesota,1,10,4
12,2024-01-14,Final OT,2,4,2,3,New York,New York,2,5,4
13,2024-01-16,Final,3,4,3,2,Montreal,Montreal,3,9,5
13,2024-01-16,Final,3,4,3,2,Montreal,New York,0,5,5
15,2024-01-17,Final OT,5,2,2,3,Minnesota,Ottawa,1,5,3
15,2024-01-17,Final OT,5,2,2,3,Minnesota,Minnesota,2,12,5
14,2024-01-17,Final,6,1,2,3,Boston,Toronto,0,3,5
14,2024-01-17,Final,6,1,2,3,Boston,Boston,3,5,3
16,2024-01-20,Final,1,4,1,4,New York,Boston,0,5,4
16,2024-01-20,Final,1,4,1,4,New York,New York,3,8,6
17,2024-01-20,Final SO,3,6,3,4,Toronto,Montreal,1,10,6
17,2024-01-20,Final SO,3,6,3,4,Toronto,Toronto,2,5,6
18,2024-01-23,Final,5,6,3,1,Ottawa,Ottawa,3,8,4
18,2024-01-23,Final,5,6,3,1,Ottawa,Toronto,0,5,7
19,2024-01-24,Final,5,1,2,3,Boston,Ottawa,0,8,5
19,2024-01-24,Final,5,1,2,3,Boston,Boston,3,8,5
20,2024-01-24,Final,2,3,1,2,Montreal,Minnesota,0,12,6
20,2024-01-24,Final,2,3,1,2,Montreal,Montreal,3,13,7
21,2024-01-26,Final,6,4,2,0,Toronto,Toronto,3,8,8
21,2024-01-26,Final,6,4,2,0,Toronto,New York,0,8,7
22,2024-01-27,Final OT,3,5,2,1,Montreal,Montreal,2,15,8
22,2024-01-27,Final OT,3,5,2,1,Montreal,Ottawa,1,9,6
23,2024-01-27,Final OT,1,2,4,3,Boston,Boston,2,10,6
23,2024-01-27,Final OT,1,2,4,3,Boston,Minnesota,1,13,7
24,2024-01-28,Final OT,4,2,1,2,Minnesota,New York,1,9,8
24,2024-01-28,Final OT,4,2,1,2,Minnesota,Minnesota,2,15,8
25,2024-02-03,Final,6,2,4,1,Toronto,Toronto,3,11,9
25,2024-02-03,Final,6,2,4,1,Toronto,Minnesota,0,15,9
26,2024-02-04,Final OT,5,4,3,4,New York,Ottawa,1,10,7
26,2024-02-04,Final OT,5,4,3,4,New York,New York,2,11,9
27,2024-02-04,Final OT,1,3,1,2,Montreal,Boston,1,11,7
27,2024-02-04,Final OT,1,3,1,2,Montreal,Montreal,2,17,9
29,2024-02-14,Final,1,6,3,5,Toronto,Boston,0,11,8
29,2024-02-14,Final,1,6,3,5,Toronto,Toronto,3,14,10
28,2024-02-14,Final,2,5,2,1,Minnesota,Minnesota,3,18,10
28,2024-02-14,Final,2,5,2,1,Minnesota,Ottawa,0,10,8
30,2024-02-16,Final,6,3,3,0,Toronto,Toronto,3,17,11
30,2024-02-16,Final,6,3,3,0,Toronto,Montreal,0,17,10
31,2024-02-17,Final,5,2,1,2,Minnesota,Ottawa,0,10,9
31,2024-02-17,Final,5,2,1,2,Minnesota,Minnesota,3,21,11
32,2024-02-17,Final OT,1,4,1,2,New York,Boston,1,12,9
32,2024-02-17,Final OT,1,4,1,2,New York,New York,2,13,10
33,2024-02-18,Final,3,2,2,1,Montreal,Montreal,3,20,11
33,2024-02-18,Final,3,2,2,1,Montreal,Minnesota,0,21,12
83,2024-02-19,Final,1,5,2,4,Ottawa,Boston,0,12,10
83,2024-02-19,Final,1,5,2,4,Ottawa,Ottawa,3,13,10
34,2024-02-21,Final,1,5,3,1,Boston,Boston,3,15,11
34,2024-02-21,Final,1,5,3,1,Boston,Ottawa,0,13,11
35,2024-02-21,Final SO,4,3,3,2,New York,New York,2,15,11
35,2024-02-21,Final SO,4,3,3,2,New York,Montreal,1,21,12
36,2024-02-23,Final SO,6,4,2,1,Toronto,Toronto,2,19,12
36,2024-02-23,Final SO,6,4,2,1,Toronto,New York,1,16,12
37,2024-02-24,Final,3,5,6,3,Montreal,Montreal,3,24,13
37,2024-02-24,Final,3,5,6,3,Montreal,Ottawa,0,13,12
38,2024-02-25,Final,2,1,0,2,Boston,Minnesota,0,21,13
38,2024-02-25,Final,2,1,0,2,Boston,Boston,3,18,12
40,2024-02-27,Final OT,2,6,3,4,Toronto,Minnesota,1,22,14
40,2024-02-27,Final OT,2,6,3,4,Toronto,Toronto,2,21,13
39,2024-02-28,Final,5,4,4,2,Ottawa,Ottawa,3,16,13
39,2024-02-28,Final,5,4,4,2,Ottawa,New York,0,16,13
41,2024-03-02,Final,5,6,2,5,Toronto,Ottawa,0,16,14
41,2024-03-02,Final,5,6,2,5,Toronto,Toronto,3,24,14
42,2024-03-02,Final,3,1,3,1,Montreal,Montreal,3,27,14
42,2024-03-02,Final,3,1,3,1,Montreal,Boston,0,18,13
43,2024-03-03,Final,4,2,0,2,Minnesota,New York,0,16,14
43,2024-03-03,Final,4,2,0,2,Minnesota,Minnesota,3,25,15
44,2024-03-05,Final SO,2,5,4,3,Minnesota,Minnesota,2,27,16
44,2024-03-05,Final SO,2,5,4,3,Minnesota,Ottawa,1,17,15
46,2024-03-06,Final,4,3,3,4,Montreal,New York,0,16,15
46,2024-03-06,Final,4,3,3,4,Montreal,Montreal,3,30,15
45,2024-03-06,Final,6,1,3,1,Toronto,Toronto,3,27,15
45,2024-03-06,Final,6,1,3,1,Toronto,Boston,0,18,14
47,2024-03-08,Final,6,3,3,0,Toronto,Toronto,3,30,16
47,2024-03-08,Final,6,3,3,0,Toronto,Montreal,0,30,16
48,2024-03-10,Final OT,1,4,3,2,Boston,Boston,2,20,15
48,2024-03-10,Final OT,1,4,3,2,Boston,New York,1,17,16
49,2024-03-10,Final,3,5,2,4,Ottawa,Montreal,0,30,17
49,2024-03-10,Final,3,5,2,4,Ottawa,Ottawa,3,20,16
50,2024-03-13,Final,2,1,4,0,Minnesota,Minnesota,3,30,17
50,2024-03-13,Final,2,1,4,0,Minnesota,Boston,0,20,16
51,2024-03-16,Final,2,4,5,1,Minnesota,Minnesota,3,33,18
51,2024-03-16,Final,2,4,5,1,Minnesota,New York,0,17,17
65,2024-03-16,Final SO,1,5,2,1,Boston,Boston,2,22,17
65,2024-03-16,Final SO,1,5,2,1,Boston,Ottawa,1,21,17
66,2024-03-17,Final,3,6,1,2,Toronto,Montreal,0,30,18
66,2024-03-17,Final,3,6,1,2,Toronto,Toronto,3,33,17
53,2024-03-20,Final,4,5,0,3,Ottawa,New York,0,17,18
53,2024-03-20,Final,4,5,0,3,Ottawa,Ottawa,3,24,18
52,2024-03-20,Final,6,1,2,1,Toronto,Toronto,3,36,18
52,2024-03-20,Final,6,1,2,1,Toronto,Boston,0,22,18
54,2024-03-23,Final,5,6,5,3,Ottawa,Ottawa,3,27,19
54,2024-03-23,Final,5,6,5,3,Ottawa,Toronto,0,36,19
55,2024-03-24,Final SO,2,3,3,2,Minnesota,Minnesota,2,35,19
55,2024-03-24,Final SO,2,3,3,2,Minnesota,Montreal,1,31,19
56,2024-03-25,Final,4,1,3,2,New York,New York,3,20,19
56,2024-03-25,Final,4,1,3,2,New York,Boston,0,22,19
57,2024-04-18,Final,1,6,2,1,Boston,Boston,3,25,20
57,2024-04-18,Final,1,6,2,1,Boston,Toronto,0,36,20
58,2024-04-18,Final,3,2,4,3,Montreal,Montreal,3,34,20
58,2024-04-18,Final,3,2,4,3,Montreal,Minnesota,0,35,20
67,2024-04-20,Final OT,3,6,2,3,Toronto,Montreal,1,35,21
67,2024-04-20,Final OT,3,6,2,3,Toronto,Toronto,2,38,21
68,2024-04-20,Final,4,1,1,2,Boston,New York,0,20,20
68,2024-04-20,Final,4,1,1,2,Boston,Boston,3,28,21
59,2024-04-20,Final,5,2,4,0,Ottawa,Ottawa,3,30,20
59,2024-04-20,Final,5,2,4,0,Ottawa,Minnesota,0,35,21
60,2024-04-24,Final,3,4,5,2,Montreal,Montreal,3,38,22
60,2024-04-24,Final,3,4,5,2,Montreal,New York,0,20,21
69,2024-04-24,Final SO,5,1,3,2,Ottawa,Ottawa,2,32,21
69,2024-04-24,Final SO,5,1,3,2,Ottawa,Boston,1,29,22
62,2024-04-27,Final,5,3,0,2,Montreal,Ottawa,0,32,22
62,2024-04-27,Final,5,3,0,2,Montreal,Montreal,3,41,23
70,2024-04-27,Final,2,1,1,2,Boston,Minnesota,0,35,22
70,2024-04-27,Final,2,1,1,2,Boston,Boston,3,32,23
61,2024-04-28,Final,4,6,2,6,Toronto,New York,0,20,22
61,2024-04-28,Final,4,6,2,6,Toronto,Toronto,3,41,22
71,2024-04-30,Final,4,5,4,3,New York,New York,3,23,23
71,2024-04-30,Final,4,5,4,3,New York,Ottawa,0,32,23
63,2024-05-01,Final,6,2,4,1,Toronto,Toronto,3,44,23
63,2024-05-01,Final,6,2,4,1,Toronto,Minnesota,0,35,23
73,2024-05-04,Final,4,2,5,2,New York,New York,3,26,24
73,2024-05-04,Final,4,2,5,2,New York,Minnesota,0,35,24
64,2024-05-04,Final,1,3,4,3,Boston,Boston,3,35,24
64,2024-05-04,Final,1,3,4,3,Boston,Montreal,0,41,24
72,2024-05-05,Final,6,5,5,2,Toronto,Toronto,3,47,24
72,2024-05-05,Final,6,5,5,2,Toronto,Ottawa,0,32,24
